"Subset","Detail"
"30v5_Up","Abr"
"30v5_Up","Acox1"
"30v5_Up","Actb"
"30v5_Up","Actn4"
"30v5_Up","Actr3"
"30v5_Up","Adam11"
"30v5_Up","Adcy1"
"30v5_Up","Adgrl2"
"30v5_Up","Agpat3"
"30v5_Up","Ahi1"
"30v5_Up","Ank3"
"30v5_Up","App"
"30v5_Up","Arf3"
"30v5_Up","Arid5b"
"30v5_Up","Arl15"
"30v5_Up","Arl8a"
"30v5_Up","Arnt2"
"30v5_Up","Astn2"
"30v5_Up","Atn1"
"30v5_Up","Atp2a2"
"30v5_Up","Atp2b2"
"30v5_Up","Atp5f1a"
"30v5_Up","Atp6v1b2"
"30v5_Up","Atp6v1e1"
"30v5_Up","Atxn1"
"30v5_Up","Auts2"
"30v5_Up","B3gat1"
"30v5_Up","Bcl11b"
"30v5_Up","Bcr"
"30v5_Up","Brsk1"
"30v5_Up","COX3"
"30v5_Up","Cabp7"
"30v5_Up","Cacna1a"
"30v5_Up","Cacna2d3"
"30v5_Up","Cacul1"
"30v5_Up","Calm1"
"30v5_Up","Calm2"
"30v5_Up","Calm3"
"30v5_Up","Camk2a"
"30v5_Up","Camk2b"
"30v5_Up","Camsap2"
"30v5_Up","Castor2"
"30v5_Up","Cbx6"
"30v5_Up","Cdh8"
"30v5_Up","Chd3"
"30v5_Up","Cic"
"30v5_Up","Clasp2"
"30v5_Up","Cmip"
"30v5_Up","Cnksr2"
"30v5_Up","Cntnap1"
"30v5_Up","Creg2"
"30v5_Up","Crim1"
"30v5_Up","Crk"
"30v5_Up","Cyfip2"
"30v5_Up","Cyria"
"30v5_Up","D7Ertd443e"
"30v5_Up","Dbn1"
"30v5_Up","Ddn"
"30v5_Up","Dennd5b"
"30v5_Up","Dlg2"
"30v5_Up","Dmtn"
"30v5_Up","Dnajb14"
"30v5_Up","Dner"
"30v5_Up","Dop1b"
"30v5_Up","Dscam"
"30v5_Up","Dusp8"
"30v5_Up","Eef2"
"30v5_Up","Elk1"
"30v5_Up","Emsy"
"30v5_Up","Faim2"
"30v5_Up","Fam168a"
"30v5_Up","Fam168b"
"30v5_Up","Fam171a2"
"30v5_Up","Fam193a"
"30v5_Up","Fbxl16"
"30v5_Up","Fbxl17"
"30v5_Up","Fbxo25"
"30v5_Up","Fech"
"30v5_Up","Fgf13"
"30v5_Up","Frrs1l"
"30v5_Up","Fzd3"
"30v5_Up","Gabbr1"
"30v5_Up","Gabbr2"
"30v5_Up","Git1"
"30v5_Up","Gm21992"
"30v5_Up","Gnai1"
"30v5_Up","Gnaq"
"30v5_Up","Gnaz"
"30v5_Up","Gnb1"
"30v5_Up","Gpm6a"
"30v5_Up","Gprin1"
"30v5_Up","Gria1"
"30v5_Up","Grin2a"
"30v5_Up","Grina"
"30v5_Up","Grm5"
"30v5_Up","Gtdc1"
"30v5_Up","Gtf2h5"
"30v5_Up","Gtf3c3"
"30v5_Up","Herc1"
"30v5_Up","Hivep2"
"30v5_Up","Hnrnpd"
"30v5_Up","Hpca"
"30v5_Up","Hpcal4"
"30v5_Up","Hsp90ab1"
"30v5_Up","Hspa5"
"30v5_Up","Huwe1"
"30v5_Up","Impact"
"30v5_Up","Iqgap2"
"30v5_Up","Iqsec2"
"30v5_Up","Itm2c"
"30v5_Up","Itpr1"
"30v5_Up","Jph4"
"30v5_Up","Kat6b"
"30v5_Up","Kcmf1"
"30v5_Up","Kcnd2"
"30v5_Up","Kcnh3"
"30v5_Up","Kcnj6"
"30v5_Up","Kcnq2"
"30v5_Up","Kif1a"
"30v5_Up","Kif5a"
"30v5_Up","Kif5c"
"30v5_Up","Larp1"
"30v5_Up","Llgl1"
"30v5_Up","Lonrf2"
"30v5_Up","Lrp1b"
"30v5_Up","Lrrtm1"
"30v5_Up","Maged1"
"30v5_Up","Map1a"
"30v5_Up","Map1b"
"30v5_Up","Map2"
"30v5_Up","Marf1"
"30v5_Up","Mast2"
"30v5_Up","Mat2b"
"30v5_Up","Med13l"
"30v5_Up","Mef2d"
"30v5_Up","Mical2"
"30v5_Up","Mlip"
"30v5_Up","Mprip"
