"Comparison","gene_name","Group","CH_NPvsCB_log2FC","CLIP_log2FC","CLIP_p_value","RiboTag_log2FC","RiboTag_p_value"
"30v5","Brinp2","CLIP_Bound_30v5",-1.1764420433608735,1.8005011072085655,0.005763566778221023,-0.13963549662343244,0.11644145906675941
"30v5","Brsk1","CLIP_Bound_30v5",3.922553082217911,1.3389066208920966,0.04750011636461493,-0.07510270786291248,0.13580277103769164
"30v5","Cab39l","CLIP_Bound_30v5",-0.36969335952503535,-2.788567450459454,0.046530083572994985,0.12827094584728171,0.15768092872608752
"30v5","Cabp7","CLIP_Bound_30v5",3.7700613964143037,1.4582577039204896,0.009179642758372554,-0.011318495874777738,0.9052587646258294
"30v5","Cacna1a","CLIP_Bound_30v5",0.9660565996074024,1.2332308389413367,7.090706025333194e-4,-0.1419049690975796,0.05523280040421588
"30v5","Cacul1","CLIP_Bound_30v5",-0.6641353487409888,1.773865477693736,0.007351951073837335,0.07479175889584103,0.24233488025205435
"30v5","Calcoco1","CLIP_Bound_30v5",-0.9810687840627211,-4.080923882139401,0.044245715647100066,-0.06140489060541917,0.3969027294098901
"30v5","Calm1","CLIP_Bound_30v5",1.8029047236210713,1.3282073413479365,0.02180538938077377,0.011004390253195637,0.7659966510311995
"30v5","Calm2","CLIP_Bound_30v5",-2.5506048462787976,1.580478091194069,0.0018188933353480603,0.04877293211254045,0.4626377860945712
"30v5","Calm3","CLIP_Bound_30v5",0.9511507061649557,1.949254396220697,0.03517421866262367,0.02892073603346327,0.7286667921146774
"30v5","Camk2a","CLIP_Bound_30v5",4.41813951094144,1.3483814921474755,0.005892838086816329,-0.10189358726708725,0.40547286094561424
"30v5","Camk2b","CLIP_Bound_30v5",0.5728374007723135,1.3185829690866655,0.01511643717434657,-0.06656240029399771,0.3979421263716564
"30v5","Camsap2","CLIP_Bound_30v5",-1.1188571181404328,1.1168143000766753,0.007543692157993423,0.08920640137053193,0.13015284978086408
"30v5","Capn2","CLIP_Bound_30v5",2.3947924146303423,-3.5136551235937916,0.023032970531579777,-0.07532309590164431,0.3123346032927889
"30v5","Cbx6","CLIP_Bound_30v5",3.278903947505903,1.5760617869670535,0.02359491488774689,-0.10444061080888627,0.1242325562738073
"30v5","Cc2d1b","CLIP_Bound_30v5",0.6059983131671659,-4.18144258353017,0.03282990233082511,0.1432178070778526,0.4739507311502447
"30v5","Ccdc126","CLIP_Bound_30v5",-1.576097579938029,5.858623210122788,0.013713570602896333,-0.030866166748918247,0.7661957243971531
"30v5","Ccdc141","CLIP_Bound_30v5",3.498388784939149,-5.253136054133832,2.4842213871610136e-4,-0.5663419872125193,0.1785486951897972
"30v5","Ccdc50","CLIP_Bound_30v5",0.5049547615652022,-4.613190968556589,0.00800527654874327,0.20373957510404,0.11061086657726325
"30v5","Ccng2","CLIP_Bound_30v5",-1.6304006465279453,-5.742314815293275,0.026473016221786733,0.17280703957176832,0.09442100653606003
"30v5","Ccnt1","CLIP_Bound_30v5",-0.5983020586987753,-2.98895016457895,0.041094465347242815,0.12788379719378054,0.3652522386565455
"30v5","Ccsap","CLIP_Bound_30v5",-2.448669649420902,-4.183943714814786,0.026230350831632478,0.08077632709689747,0.2188936330094675
"30v5","Cd164","CLIP_Bound_30v5",0.5897948419857603,-6.811749758481998,0.003351272030740737,0.06029178095466883,0.3415988601094108
"30v5","Cd63","CLIP_Bound_30v5",5.332100090992648,7.734449047112576,0.04631984360071673,-0.1604537377870437,0.2408344048419862
"30v5","Cdk5r1","CLIP_Bound_30v5",0.021344417478361404,1.5586694796542542,0.03921213107846566,-0.09066544637196232,0.18236043422800385
"30v5","Cep131","CLIP_Bound_30v5",-0.19180099455068014,-5.048925023552831,0.0485192767450253,-0.14640280153201068,0.20830801707654806
"30v5","Cep350","CLIP_Bound_30v5",0.2766966054393881,-1.4483996599954585,0.02730413251122372,-0.07593883995380178,0.28588809240588825
"30v5","Cep97","CLIP_Bound_30v5",0.16253594320729398,-3.986340370444282,6.248652248492632e-4,0.16950927121338963,0.057323664802673334
"30v5","Chd3","CLIP_Bound_30v5",3.2832191147731202,0.9986821601691895,0.038443951265972186,-0.01350689491723063,0.853396499654113
"30v5","Chsy1","CLIP_Bound_30v5",0.9872940581643137,-3.3742455952088197,0.02649761436370759,0.0683460039856197,0.41517013614508075
"30v5","Cic","CLIP_Bound_30v5",3.165300487100503,1.6220648922538259,0.018990354008433574,-0.12854477243470538,0.11743892306337204
"30v5","Clasp2","CLIP_Bound_30v5",-0.44920717049036546,1.0332585819752125,0.01736902686405925,0.023587932342424362,0.608889883098788
"30v5","Clpx","CLIP_Bound_30v5",-0.7155165574801964,-3.2919345715072623,0.008196248207261884,0.023259963907542123,0.8365454881936517
"30v5","Clu","CLIP_Bound_30v5",3.8427481711450877,-5.152667807930349,0.019104921762232958,0.011930820221952958,0.8876212383417311
"30v5","Cmip","CLIP_Bound_30v5",1.0487810638930397,1.108235497474154,0.025892451208884372,-0.0170702311722538,0.7833550861755054
"30v5","Cnih4","CLIP_Bound_30v5",0.5222758479974743,-4.249441335686926,0.028025154329564338,0.12473844588268851,0.3341519850685304
"30v5","Cnksr2","CLIP_Bound_30v5",0.269643985992403,1.2065581285841658,0.017211352900741033,0.009357218294233614,0.8913960694913474
"30v5","Cnp","CLIP_Bound_30v5",2.7418113792592584,-3.92466543849844,0.00566775433517203,0.11021116562416501,0.462286228706433
"30v5","Coil","CLIP_Bound_30v5",-0.7226281247174162,-4.4939838583959775,0.01350613104343014,-0.03439952159761546,0.6970185745444535
"30v5","Cox7c","CLIP_Bound_30v5",0.12230310169448946,-8.361541091191409,0.047613275808488204,0.1332448419358687,0.13253148317902944
"30v5","Cpt1a","CLIP_Bound_30v5",3.92039005616114,-2.8387447689930125,0.03906866749837222,0.3497921912573076,0.13462584475366227
"30v5","Cramp1","CLIP_Bound_30v5",0.5045662956315972,-3.5906959000927423,0.04910838526368905,0.09395192685609724,0.09781948829233314
"30v5","Crebzf","CLIP_Bound_30v5",-0.7690620708650115,-6.9356579457705925,9.138791540918333e-4,-0.08676359093007686,0.538877641089361
"30v5","Crk","CLIP_Bound_30v5",-1.3710132197851916,1.523927666524001,0.034054860704918866,0.023752137031749432,0.6794892044128
"30v5","Ctnna1","CLIP_Bound_30v5",1.2237349959643218,-3.070327629407873,0.012915069544638077,0.10255042646234194,0.34185730124608504
"30v5","Cxcl12","CLIP_Bound_30v5",2.4126522342377457,-5.726278116531772,0.03424813901474589,0.05380935775579757,0.5112306391481458
"30v5","Cyfip2","CLIP_Bound_30v5",0.7765144180736459,1.040846891843822,0.011251703165747275,0.03976211714844084,0.7186405714661339
"30v5","Cyria","CLIP_Bound_30v5",-2.252236413157005,2.0730837506713375,0.004780566298237594,0.0516322317649286,0.49649709688767396
"30v5","Dbn1","CLIP_Bound_30v5",0.7621670710875414,1.2084518426487998,0.04442468572584975,-0.02555503280690427,0.738211814557785
"30v5","Dctn2","CLIP_Bound_30v5",-0.7178120817862653,-4.629865744643638,0.012972788286088615,-0.07583325470478001,0.15222828590710913
"30v5","Ddah1","CLIP_Bound_30v5",3.340188177613914,-3.651583562818357,0.04823780542003552,0.1136441786370878,0.4614321304664478
"30v5","Ddn","CLIP_Bound_30v5",3.9311571694162266,1.569162639199308,0.01470765824215261,-0.03397257830938519,0.6710223279811698
"30v5","Ddx42","CLIP_Bound_30v5",-1.093481186195628,-4.195458909045885,0.04713435206558101,0.04456192333344081,0.48448634234256027
"30v5","Ddx50","CLIP_Bound_30v5",-1.3162119290802599,-4.00765051820034,0.011449198744689363,0.141013318770649,0.06924291793839249
"30v5","Dhx29","CLIP_Bound_30v5",0.15971388317988894,-5.130842957186144,0.004353881511907196,0.0033588588392580105,0.971708515767194
"30v5","Diaph2","CLIP_Bound_30v5",-0.7804325305344836,2.319680553378353,0.0027911675585833772,0.009748188646502808,0.9143442950913884
