"gene_name","comparison","log2FC","pvalue","significance_status","labeled","label_direction"
"Ahcyl1","5v0",1.70606438201872,0.372842981387266,"NS","No","Not_labeled"
"Ahcyl2","5v0",-0.644525630381332,0.032795711830531,"CLIP_Down","No","Not_labeled"
"Ahdc1","5v0",-0.459081167164864,0.0453781494180846,"CLIP_Down","No","Not_labeled"
"Ahi1","5v0",-0.195682795220402,0.54930561944042,"NS","No","Not_labeled"
"Ahnak","5v0",0.446446663535033,0.289346617325314,"NS","No","Not_labeled"
"Ahsa1","5v0",4.01609651453771,0.0373623250091524,"CLIP_Up","No","Not_labeled"
"AI593442","5v0",-0.204264154470618,0.625708337406566,"NS","No","Not_labeled"
"Ajap1","5v0",0.217629299307412,0.315756748924919,"NS","No","Not_labeled"
"Ajm1","5v0",-0.238302779425693,0.422343804331994,"NS","No","Not_labeled"
"Ak3","5v0",0.966515745063502,0.493054243261366,"NS","No","Not_labeled"
"Ak4","5v0",-1.09463577518451,0.224261106781837,"NS","No","Not_labeled"
"Ak5","5v0",-0.512926864577234,0.0773045772307143,"NS","No","Not_labeled"
"Akap1","5v0",-4.17969361601202,0.0209072144392491,"CLIP_Down","No","Not_labeled"
"Akap10","5v0",-2.31861267549509,0.12019781316297,"NS","No","Not_labeled"
"Akap11","5v0",-0.0877250512945054,0.708194298955198,"NS","No","Not_labeled"
"Akap13","5v0",0.580946401919537,0.0365197965527339,"CLIP_Up","Yes","Increased"
"Akap5","5v0",0.765627411083083,0.149671149105167,"NS","No","Not_labeled"
"Akap6","5v0",-0.275889704554028,0.165217228015504,"NS","No","Not_labeled"
"Akap9","5v0",0.368817422176039,0.342790288488433,"NS","No","Not_labeled"
"Akirin1","5v0",1.56852128055499,0.267482148769597,"NS","No","Not_labeled"
"Akt1","5v0",0.0313413245152949,0.951323201963297,"NS","No","Not_labeled"
"Akt3","5v0",-0.351582982223598,0.228589837650912,"NS","No","Not_labeled"
"Aktip","5v0",0.771721037405579,0.0838218950261001,"NS","No","Not_labeled"
"Alas1","5v0",1.85364615031301,0.301442182007776,"NS","No","Not_labeled"
"Alcam","5v0",-0.566597561505065,0.294500510813179,"NS","No","Not_labeled"
"Aldh1l1","5v0",1.20689238659859,0.254957638513741,"NS","No","Not_labeled"
"Aldh2","5v0",1.59671088059026,0.135145540497501,"NS","No","Not_labeled"
"Aldh6a1","5v0",0.451172947566221,0.159991309935724,"NS","No","Not_labeled"
"Aldoa","5v0",-0.353115484439558,0.608169732265934,"NS","No","Not_labeled"
"Aldoc","5v0",1.92142010293407,0.432525414061563,"NS","No","Not_labeled"
"Alg9","5v0",1.92897752280142,0.0500662334238732,"NS","No","Not_labeled"
"Alkbh5","5v0",-1.79653589626933,0.287899382240195,"NS","No","Not_labeled"
"Alkbh8","5v0",1.16007537606783,0.385138701837339,"NS","No","Not_labeled"
"Als2","5v0",-0.394376567009575,0.104868201751985,"NS","No","Not_labeled"
"Amd1","5v0",1.88955160539617,0.221092773314891,"NS","No","Not_labeled"
"Amer2","5v0",-0.550841604943849,0.400813496865513,"NS","No","Not_labeled"
"Amfr","5v0",-0.453255002396416,0.33151981376482,"NS","No","Not_labeled"
"Amigo1","5v0",-0.73993853293408,0.299474188588098,"NS","No","Not_labeled"
"Amot","5v0",-0.193410016709173,0.745864831740446,"NS","No","Not_labeled"
"Ampd2","5v0",-1.80080139127911,0.0180543280669981,"CLIP_Down","No","Not_labeled"
"Amph","5v0",-0.442383931893593,0.264949463900761,"NS","No","Not_labeled"
"Amz1","5v0",1.79007417492279,0.136875891163334,"NS","No","Not_labeled"
"Amz2","5v0",-1.29339947422923,0.3533476623823,"NS","No","Not_labeled"
"Anapc1","5v0",-0.152309933249063,0.625134022350754,"NS","No","Not_labeled"
"Anapc4","5v0",1.70938376289497,0.167311952675897,"NS","No","Not_labeled"
"Anapc5","5v0",0.489747213826242,0.208382990250204,"NS","No","Not_labeled"
"Anapc7","5v0",-0.732085691413986,0.270357380038891,"NS","No","Not_labeled"
"Ank","5v0",-0.762695638760969,0.223119272061549,"NS","No","Not_labeled"
"Ank2","5v0",0.228073917665057,0.447213756197124,"NS","No","Not_labeled"
"Ank3","5v0",-0.235505071804945,0.285565722710411,"NS","No","Not_labeled"
"Ankfy1","5v0",-0.0553652471802302,0.707771802069425,"NS","No","Not_labeled"
"Ankhd1","5v0",0.0891254857836916,0.811648887565985,"NS","No","Not_labeled"
"Ankib1","5v0",0.260133014540034,0.383238038672475,"NS","No","Not_labeled"
"Ankle2","5v0",0.12012965157854,0.854897621411428,"NS","No","Not_labeled"
"Ankrd11","5v0",-0.119101747842562,0.510036219884587,"NS","No","Not_labeled"
"Ankrd12","5v0",0.205759929454259,0.376237971354909,"NS","No","Not_labeled"
"Ankrd13a","5v0",1.25624006398665,0.365477870809503,"NS","No","Not_labeled"
"Ankrd13b","5v0",1.98549520427176,0.21278267100311,"NS","No","Not_labeled"
"Ankrd13c","5v0",0.032041371682952,0.903547586528556,"NS","No","Not_labeled"
"Ankrd17","5v0",-0.140531156712194,0.199400878300527,"NS","No","Not_labeled"
"Ankrd27","5v0",-1.23961751417382,0.0618546728627845,"NS","No","Not_labeled"
"Ankrd28","5v0",0.833964853819589,0.0705600618818793,"NS","No","Not_labeled"
"Ankrd33b","5v0",0.497066830416323,0.539679408898895,"NS","No","Not_labeled"
"Ankrd45","5v0",-0.303940392538331,0.745185500962503,"NS","No","Not_labeled"
"Ankrd46","5v0",1.12950684417912,0.424759952567853,"NS","No","Not_labeled"
"Ankrd50","5v0",0.16138935248656,0.55610878167367,"NS","No","Not_labeled"
"Ankrd52","5v0",-0.441439862819903,0.0917237316001894,"NS","No","Not_labeled"
"Ankrd6","5v0",0.735276815116854,0.481611588970722,"NS","No","Not_labeled"
"Anks1","5v0",1.66295831926364,0.0963329996625098,"NS","No","Not_labeled"
"Anks1b","5v0",-0.358480896265079,0.710623696196131,"NS","No","Not_labeled"
"Anln","5v0",-0.516805456003491,0.193540361551718,"NS","No","Not_labeled"
"Ano3","5v0",-1.01316453988753,0.229403169814342,"NS","No","Not_labeled"
"Anp32e","5v0",-0.381912763436482,0.407328259937427,"NS","No","Not_labeled"
"Anxa6","5v0",1.42280018372818,0.249207988964883,"NS","No","Not_labeled"
"Anxa7","5v0",-1.1971864382094,0.0924360433848056,"NS","No","Not_labeled"
"Ap1ar","5v0",1.43108229322911,0.210789705423998,"NS","No","Not_labeled"
"Ap1b1","5v0",-0.164509600719708,0.669448873928439,"NS","No","Not_labeled"
"Ap1g1","5v0",-0.709837031635375,0.156148692905292,"NS","No","Not_labeled"
"Ap1s1","5v0",-1.52433449192823,0.400149781733499,"NS","No","Not_labeled"
"Ap2a1","5v0",0.115054201601139,0.853948492958866,"NS","No","Not_labeled"
"Ap2a2","5v0",-0.248961756885528,0.305792156291099,"NS","No","Not_labeled"
"Ap2b1","5v0",0.0465429860202491,0.896213050094459,"NS","No","Not_labeled"
"Ap2m1","5v0",-0.554259215069929,0.447007447119158,"NS","No","Not_labeled"
"Ap3b2","5v0",0.685486980994086,0.641287495187686,"NS","No","Not_labeled"
"Ap3d1","5v0",0.126161477283087,0.405585045622555,"NS","No","Not_labeled"
"Ap3m1","5v0",-0.499304439850627,0.522945354684774,"NS","No","Not_labeled"
"Ap3s2","5v0",0.40454006380672,0.76267826303353,"NS","No","Not_labeled"
"Apba1","5v0",-0.392154296567999,0.110597168329695,"NS","No","Not_labeled"
"Apba2","5v0",0.0496637986168156,0.734514154695834,"NS","No","Not_labeled"
"Apc","5v0",-0.179478469489369,0.514334665967962,"NS","No","Not_labeled"
"Apc2","5v0",-0.682977728756748,0.223514958423976,"NS","No","Not_labeled"
"Aph1b","5v0",-1.05825695375374,0.48765420302527,"NS","No","Not_labeled"
"Api5","5v0",-0.230459713490836,0.719076662738778,"NS","No","Not_labeled"
"Aplp1","5v0",-0.663029829185741,0.0206068990009803,"CLIP_Down","No","Not_labeled"
"Aplp2","5v0",-0.293588029340626,0.548878579260329,"NS","No","Not_labeled"
"Apoe","5v0",-0.116089269235386,0.874138165975208,"NS","No","Not_labeled"
"App","5v0",-0.170287271971823,0.472005411331127,"NS","No","Not_labeled"
"Appbp2","5v0",-0.193572798416767,0.633934537479455,"NS","No","Not_labeled"
"Appl1","5v0",0.521222814396612,0.00910661273661804,"CLIP_Up","Yes","Increased"
"Aqp4","5v0",0.486652508900288,0.496735955522277,"NS","No","Not_labeled"
"Aqr","5v0",-0.910187289747262,0.108139546573112,"NS","No","Not_labeled"
"Ar","5v0",0.642289379162501,0.160740903118041,"NS","No","Not_labeled"
"Araf","5v0",0.61626670017193,0.561644225772386,"NS","No","Not_labeled"
"Arap2","5v0",0.439606321285032,0.113577486347787,"NS","No","Not_labeled"
"Arc","5v0",-0.273368249489231,0.667108240145315,"NS","No","Not_labeled"
"Arcn1","5v0",0.192229197393285,0.56169987812481,"NS","No","Not_labeled"
"Arel1","5v0",-0.222888698870513,0.425468298043213,"NS","No","Not_labeled"
"Arf1","5v0",-0.0172320375612864,0.964413564110326,"NS","No","Not_labeled"
"Arf3","5v0",-0.484457318502496,0.263083194924699,"NS","No","Not_labeled"
"Arf4","5v0",-2.27500933401634,0.175162783337261,"NS","No","Not_labeled"
"Arf6","5v0",-0.00130378869771341,0.998448631648189,"NS","No","Not_labeled"
"Arfgef1","5v0",-0.189728012402594,0.423464972227254,"NS","No","Not_labeled"
"Arfgef2","5v0",1.37882864084023,0.26310887884874,"NS","No","Not_labeled"
"Arfgef3","5v0",-0.215586030998078,0.125460771932721,"NS","No","Not_labeled"
"Arfip1","5v0",-0.260836478255179,0.309506025154734,"NS","No","Not_labeled"
"Arhgap12","5v0",1.179224328865,0.351331224017427,"NS","No","Not_labeled"
"Arhgap20","5v0",-0.0954703251946647,0.693855292178748,"NS","No","Not_labeled"
"Arhgap21","5v0",-0.173957693053477,0.328629883326674,"NS","No","Not_labeled"
"Arhgap23","5v0",0.521397699105832,0.160328070323881,"NS","No","Not_labeled"
"Arhgap26","5v0",-0.405395584941877,0.444275286097905,"NS","No","Not_labeled"
"Arhgap29","5v0",1.22418736668858,0.204260139521912,"NS","No","Not_labeled"
"Arhgap31","5v0",0.945178949160794,0.363247676571273,"NS","No","Not_labeled"
"Arhgap32","5v0",0.0132313009649048,0.930008408783065,"NS","No","Not_labeled"
"Arhgap35","5v0",0.0975798458791175,0.373556083535742,"NS","No","Not_labeled"
"Arhgap39","5v0",-0.138108801583077,0.644218103451734,"NS","No","Not_labeled"
"Arhgap44","5v0",-0.180953843314426,0.43444618251626,"NS","No","Not_labeled"
"Arhgap5","5v0",0.151572882245384,0.686481641085557,"NS","No","Not_labeled"
"Arhgdia","5v0",2.18221826672948,0.265752955840878,"NS","No","Not_labeled"
"Arhgef10","5v0",0.415054579399564,0.503283172755389,"NS","No","Not_labeled"
"Arhgef11","5v0",0.0165942174051343,0.916094550521211,"NS","No","Not_labeled"
"Arhgef12","5v0",0.30420844580132,0.124840928903701,"NS","No","Not_labeled"
"Arhgef17","5v0",-0.189432265652633,0.493458364336366,"NS","No","Not_labeled"
"Arhgef18","5v0",-1.2547125312651,0.0101999376126105,"CLIP_Down","No","Not_labeled"
"Arhgef2","5v0",0.252649519345046,0.755517676706754,"NS","No","Not_labeled"
"Arhgef25","5v0",-0.468293911159535,0.573990725631709,"NS","No","Not_labeled"
"Arhgef26","5v0",-0.304175421512777,0.594942191650658,"NS","No","Not_labeled"
"Arhgef28","5v0",-0.0136442699844628,0.936080823007814,"NS","No","Not_labeled"
"Arhgef4","5v0",-0.363374186023365,0.119651280060348,"NS","No","Not_labeled"
"Arhgef6","5v0",-0.192408423913176,0.502062003353524,"NS","No","Not_labeled"
"Arhgef7","5v0",-2.39656655439743,0.101314600399716,"NS","No","Not_labeled"
"Arhgef9","5v0",1.50941056953727,0.169894205095331,"NS","No","Not_labeled"
"Arid1a","5v0",-0.30541012010826,0.303226320123969,"NS","No","Not_labeled"
"Arid1b","5v0",0.126964924438878,0.575020850131365,"NS","No","Not_labeled"
"Arid2","5v0",-0.0661427285176193,0.682731603225078,"NS","No","Not_labeled"
"Arid4a","5v0",0.846271347495137,0.408157617899004,"NS","No","Not_labeled"
"Arid4b","5v0",0.351718863305278,0.618868725561099,"NS","No","Not_labeled"
"Arid5b","5v0",-0.276488517240003,0.26690357957952,"NS","No","Not_labeled"
"Arih1","5v0",1.21341770632459,0.279327236401156,"NS","No","Not_labeled"
"Arih2","5v0",-1.95139268447371,0.143583019535722,"NS","No","Not_labeled"
"Ark2c","5v0",-0.505641639605362,0.337274283703974,"NS","No","Not_labeled"
"Arl14ep","5v0",3.56679370455633,0.032516407982723,"CLIP_Up","No","Not_labeled"
"Arl15","5v0",-1.03615013526113,0.299875208483796,"NS","No","Not_labeled"
"Arl2bp","5v0",1.86158695480264,0.316314392964584,"NS","No","Not_labeled"
"Arl3","5v0",1.2092924930208,0.272990836781991,"NS","No","Not_labeled"
"Arl5a","5v0",-0.00656328302813058,0.985078508201517,"NS","No","Not_labeled"
"Arl6ip1","5v0",0.775727997705578,0.0482809736562045,"CLIP_Up","No","Not_labeled"
"Arl8a","5v0",-3.02442767892912,0.110855004598178,"NS","No","Not_labeled"
"Arl8b","5v0",0.700445326263131,0.586027091237948,"NS","No","Not_labeled"
"Armc1","5v0",0.191648113248083,0.70723183835923,"NS","No","Not_labeled"
"Armc8","5v0",-0.731288529932046,0.210386768462937,"NS","No","Not_labeled"
"Armcx2","5v0",-2.90422177757517,0.270247500254208,"NS","No","Not_labeled"
"Armcx3","5v0",2.01611637417532,0.350422907418193,"NS","No","Not_labeled"
"Armcx4","5v0",-0.0894994149258386,0.824706744919607,"NS","No","Not_labeled"
"Armcx5","5v0",-0.123019090717532,0.852175725179153,"NS","No","Not_labeled"
"Armh4","5v0",0.959974369669244,0.372738310175563,"NS","No","Not_labeled"
"Arnt2","5v0",-0.253827784698355,0.167100738430428,"NS","No","Not_labeled"
"Arpc1a","5v0",-0.300174376550712,0.378232379154933,"NS","No","Not_labeled"
"Arpc2","5v0",-0.635089127000673,0.167398637572406,"NS","No","Not_labeled"
"Arpc4","5v0",1.75681230523914,0.34465590148201,"NS","No","Not_labeled"
"Arpc5","5v0",-0.92415781431175,0.257100066744111,"NS","No","Not_labeled"
