"gene_name","CLIP_log2FC_5v0","CLIP_pvalue_5v0","Significant_5v0","Direction_5v0","CLIP_log2FC_30v5","CLIP_pvalue_30v5","Significant_30v5","Direction_30v5","Detected_in_5v0_CLIP_analysis","Detected_in_30v5_CLIP_analysis"
"Chd3",-0.13264953955950798,0.6271264003589103,FALSE,"Not significant",0.9986821601691895,0.038443951265972186,TRUE,"Increased",TRUE,TRUE
"Chd5",0.11407996386929042,0.42676926345304156,FALSE,"Not significant",0.3672596626247975,0.5884726461075482,FALSE,"Not significant",TRUE,TRUE
"Chst15",-0.9055462561586025,4.349879284303395e-4,TRUE,"Decreased",1.7830560487368485,4.432635668251823e-5,TRUE,"Increased",TRUE,TRUE
"Chsy3",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"Cic",-0.8884154066118768,0.08955769762111314,FALSE,"Not significant",1.6220648922538259,0.018990354008433574,TRUE,"Increased",TRUE,TRUE
"Cnih2",-0.33119338094742057,0.39685978380307263,FALSE,"Not significant",-0.9314679395339946,0.6269165145431589,FALSE,"Not significant",TRUE,TRUE
"Cnksr2",-0.2554389971468831,0.4129648903960864,FALSE,"Not significant",1.2065581285841658,0.017211352900741033,TRUE,"Increased",TRUE,TRUE
"Cntnap1",-0.43127508062722963,0.19196854536115476,FALSE,"Not significant",1.2543036480341128,0.010359194145335662,TRUE,"Increased",TRUE,TRUE
"Cog5",0.15522167763096256,0.8148018069364422,FALSE,"Not significant",-0.66792469294517,0.4282790005352771,FALSE,"Not significant",TRUE,TRUE
"Cpe",-0.057940807188764154,0.754752732565801,FALSE,"Not significant",1.1166110026240628,0.09942575737378143,FALSE,"Not significant",TRUE,TRUE
"Crebbp",-0.14382736154096332,0.3931914923466815,FALSE,"Not significant",0.5589835836894315,0.14804586552749252,FALSE,"Not significant",TRUE,TRUE
"Crtc1",-0.5858583390366459,0.268719080617922,FALSE,"Not significant",1.159843615004183,0.19836392287442706,FALSE,"Not significant",TRUE,TRUE
"Csnk1g2",-0.15276341530405713,0.2736018748486949,FALSE,"Not significant",0.6783408602992846,0.2657612607921892,FALSE,"Not significant",TRUE,TRUE
"Ctnnd2",-0.023245638752947384,0.9159004151901218,FALSE,"Not significant",0.38772700767666357,0.23065431562362462,FALSE,"Not significant",TRUE,TRUE
"Cyfip2",-0.1960807320530158,0.36744973647534,FALSE,"Not significant",1.040846891843822,0.011251703165747275,TRUE,"Increased",TRUE,TRUE
"Dab2ip",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
