"gene_name","Control_0min_Mean_CLIPscore","Control_0min_Binding_Category","Opto_5min_Mean_CLIPscore","Opto_5min_Binding_Category","Opto_30min_Mean_CLIPscore","Opto_30min_Binding_Category"
"Cmc2",-1.02132669197888,"Non_target",-1.0970824300562,"Non_target",-0.638462991479934,"Non_target"
"Cmc4",-1.0834068044895,"Non_target",-1.11673432640159,"Non_target",-0.501469409285396,"Non_target"
"Cmip",3.30954490508698,"High_binding",2.95092561650554,"Low_binding",3.67342595588407,"High_binding"
"Cmpk1",-3.49484494669918,"Non_target",-3.50409763658356,"Non_target",-2.54292261015537,"Non_target"
"Cmpk2",-1.34667697011137,"Non_target",-1.57551128026794,"Non_target",-1.09601442175435,"Non_target"
"Cmss1",-1.6050605712801,"Non_target",-1.75482189996894,"Non_target",-1.24574106016564,"Non_target"
"Cmtm3",0.509184132014453,"Non_target",0.266936516731021,"Non_target",0.347873719422355,"Non_target"
"Cmtm4",2.92479083636137,"Low_binding",2.76058919815549,"Low_binding",3.76150856028762,"High_binding"
"Cmtm5",-1.44145670875616,"Non_target",-1.45828865503074,"Non_target",-0.898197272716944,"Non_target"
"Cmtm6",-0.661436761154369,"Non_target",-0.789403399711556,"Non_target",-0.45470652677077,"Non_target"
"Cmtr1",2.65444800081445,"Low_binding",2.51738298383907,"Low_binding",1.89690586309141,"Non_target"
"Cmtr2",-0.245564409770216,"Non_target",-0.24710502099123,"Non_target",0.122674556438495,"Non_target"
"Cmya5",0.217596746229174,"Non_target",0.172494342828151,"Non_target",0.301949737404765,"Non_target"
"Cnbd2",-0.00441567012610727,"Non_target",-0.322398067244185,"Non_target",-0.0711215712883063,"Non_target"
"Cnbp",0.435706178785047,"Non_target",1.87580102162282,"Non_target",0.0958886157927398,"Non_target"
"Cndp2",-2.52827756157913,"Non_target",-2.66010798271622,"Non_target",-2.01615215218299,"Non_target"
"Cnep1r1",-2.21216936890319,"Non_target",-2.33662799312007,"Non_target",-1.60391680472501,"Non_target"
"Cnih1",-3.40691880910915,"Non_target",-3.54568535890399,"Non_target",-2.68670248966161,"Non_target"
"Cnih2",4.05024818191543,"Stringent_target",3.71905480096801,"High_binding",2.0175704122136,"Low_binding"
"Cnih3",-3.04101219554294,"Non_target",-3.27278120294503,"Non_target",-2.51074406982407,"Non_target"
"Cnih4",1.70448450037448,"Non_target",1.36509586242927,"Non_target",-1.5502989405383,"Non_target"
"Cnksr2",3.51309427096671,"High_binding",3.25765527381983,"High_binding",4.26082777846671,"Stringent_target"
"Cnn2",0.365015182467327,"Non_target",0.274617461500896,"Non_target",0.477082607567969,"Non_target"
"Cnn3",1.1098305941733,"Non_target",2.50331020467199,"Low_binding",1.39060088241935,"Non_target"
"Cnnm1",2.54688375742829,"Low_binding",1.81874726160114,"Non_target",1.27183687993502,"Non_target"
"Cnnm2",1.66123175697788,"Non_target",1.22260510906668,"Non_target",1.26856318309917,"Non_target"
"Cnnm3",3.0683150777518,"High_binding",3.69847551306301,"High_binding",0.679451181358396,"Non_target"
"Cnnm4",-1.64178455511115,"Non_target",-1.69297316665375,"Non_target",-1.0745014951861,"Non_target"
"Cnot1",4.80178574768583,"Stringent_target",4.68967294216518,"Stringent_target",4.96487942414798,"Stringent_target"
"Cnot10",1.28849443491582,"Non_target",1.11504222157407,"Non_target",0.111931109028585,"Non_target"
"Cnot11",-2.08968637051941,"Non_target",-2.26141974215156,"Non_target",-1.61522270672165,"Non_target"
"Cnot2",-3.4739071243177,"Non_target",-3.48521080533976,"Non_target",-2.63689413307538,"Non_target"
"Cnot3",-2.61131207086273,"Non_target",-2.73186238300775,"Non_target",-2.03254812194941,"Non_target"
"Cnot4",0.591433331123215,"Non_target",-0.0486470750297008,"Non_target",-0.210696342287094,"Non_target"
"Cnot6",3.66111316486325,"High_binding",3.88206036274178,"High_binding",4.25868603022425,"Stringent_target"
"Cnot6l",1.1437989914389,"Non_target",1.70537263013975,"Non_target",-0.372642001576857,"Non_target"
"Cnot7",-3.49191734745759,"Non_target",-3.47991112629685,"Non_target",-2.6239617945524,"Non_target"
"Cnot8",4.24628327918179,"Stringent_target",3.75362088967553,"High_binding",-1.9880643156932,"Non_target"
"Cnot9",-2.19739237566537,"Non_target",-2.24359164297474,"Non_target",-1.5785565549726,"Non_target"
"Cnp",4.53698949966893,"Stringent_target",4.35774727742137,"Stringent_target",-0.88258796593232,"Non_target"
"Cnppd1",-1.97085842484734,"Non_target",-2.11214801260478,"Non_target",-1.57375033671356,"Non_target"
"Cnpy2",-2.92122873144113,"Non_target",-3.15213954296769,"Non_target",-2.39556580579988,"Non_target"
"Cnpy3",-3.46159382250246,"Non_target",-3.65294060827483,"Non_target",-2.77643826216719,"Non_target"
"Cnpy4",-0.394706606559509,"Non_target",-0.642331353451856,"Non_target",-0.234315193418378,"Non_target"
"Cnr1",5.47499022729911,"Stringent_target",5.86706644017006,"Stringent_target",5.98900024242395,"Stringent_target"
"Cnrip1",-3.75203789153709,"Non_target",-3.83516243479621,"Non_target",-2.95788300172305,"Non_target"
"Cnst",-2.48490243546102,"Non_target",-2.53922067008559,"Non_target",-1.85514018557163,"Non_target"
"Cntf",0.386384848945365,"Non_target",0.639846076508583,"Non_target",0.770852884441273,"Non_target"
"Cntfr",-2.78443442519158,"Non_target",-2.99588730829006,"Non_target",-2.31035490353715,"Non_target"
"Cntln",2.18901080718578,"Low_binding",2.85573349847833,"Low_binding",1.18863134277107,"Non_target"
"Cntn1",0.854037473583482,"Non_target",1.09205094130877,"Non_target",1.64751181100897,"Non_target"
"Cntn2",2.05829314736185,"Low_binding",2.47666563700584,"Low_binding",0.206595140043901,"Non_target"
"Cntn3",-1.30487086489713,"Non_target",-1.54394163733928,"Non_target",-1.05343497356721,"Non_target"
"Cntn4",-1.75937379214284,"Non_target",-1.80534134185523,"Non_target",-1.32738349592677,"Non_target"
"Cntn5",-0.334033155478309,"Non_target",-0.392564015334799,"Non_target",-0.0702637129034016,"Non_target"
"Cntn6",0.642442866935031,"Non_target",0.733564534736709,"Non_target",0.848579558488034,"Non_target"
"Cntnap1",4.89422798091133,"Stringent_target",4.4629529002841,"Stringent_target",5.56903282966302,"Stringent_target"
"Cntnap2",-2.93186815401,"Non_target",-3.01233882158632,"Non_target",-2.31638058309934,"Non_target"
"Cntnap4",0.00408417484769541,"Non_target",-0.169022311354821,"Non_target",0.260063841202148,"Non_target"
"Cntnap5a",-1.09879820281188,"Non_target",-1.47319215883101,"Non_target",-0.589734454333912,"Non_target"
"Cntnap5b",-1.85642340465124,"Non_target",-2.28353322322056,"Non_target",-1.66622637083637,"Non_target"
"Cntnap5c",-1.87211679709149,"Non_target",-2.18495223174371,"Non_target",-1.62192947357451,"Non_target"
