"gene_name","Pathway_group","log2FC_5v0","pvalue_5v0","padj_5v0","log2FC_30v5","pvalue_30v5","padj_30v5","Significant_reversal","Temporal_category","Plot_category"
"Slirp","Nuclear: decreased at 5 min",-0.3794221356667129,3.458487917180993e-4,0.007505771657675454,-0.03898942219777524,0.8141718638915871,0.9294436501898573,FALSE,"No significant reversal","Nuclear no reversal"
"Smarca1","Nuclear: decreased at 5 min",-0.30156267610481496,4.23338205019436e-4,0.008500891501992841,0.0651432947319844,0.5041565647888007,0.764561895142426,FALSE,"No significant reversal","Nuclear no reversal"
"Smg7","Nuclear: decreased at 5 min",-0.1742903327140212,0.004055049559921834,0.04246616927098705,0.15904801351266282,0.02025174995679724,0.1191028132646158,FALSE,"No significant reversal","Nuclear no reversal"
"Snrpb2","Nuclear: decreased at 5 min",-0.3220144926197203,0.0016264318198616686,0.022253293089727563,0.05880270781924592,0.7283637359567914,0.8924992558365775,FALSE,"No significant reversal","Nuclear no reversal"
"Spop","Nuclear: decreased at 5 min",-0.34960520254006144,4.246906662111328e-4,0.008500891501992841,0.08587896683936609,0.41372429102555025,0.6995960857755273,FALSE,"No significant reversal","Nuclear no reversal"
"Sub1","Nuclear: decreased at 5 min",-0.1762514082799622,4.177770592228898e-4,0.008464854320011966,0.0921290394324959,0.0594783761723584,0.2386422527102503,FALSE,"No significant reversal","Nuclear no reversal"
"Tnfaip3","Nuclear: decreased at 5 min",-0.389639318650582,0.0020621357655041792,0.026249534203020498,0.2966158034024786,0.007871075588431234,0.06306888646460918,FALSE,"No significant reversal","Nuclear no reversal"
"Tox","Nuclear: decreased at 5 min",-0.5940799811408518,0.0016782489094845931,0.0227605928012785,0.37311648921892243,0.28237380376298177,0.5808684505516327,FALSE,"No significant reversal","Nuclear no reversal"
"Trnt1","Nuclear: decreased at 5 min",-0.30003444919259054,0.0012477955600134986,0.01847592083313138,0.2570619957596153,0.01624077215485932,0.10236773004598593,FALSE,"No significant reversal","Nuclear no reversal"
"Trub2","Nuclear: decreased at 5 min",-0.3740741640003233,0.0010889414471371478,0.016790824682033426,0.2045480600366163,0.07774862567741617,0.28045284910630447,FALSE,"No significant reversal","Nuclear no reversal"
"Usp4","Nuclear: decreased at 5 min",-0.16630311062031344,0.003312592025926488,0.036989470256445674,0.1011611760702608,0.0997315911813387,0.3280466924997888,FALSE,"No significant reversal","Nuclear no reversal"
"Usp47","Nuclear: decreased at 5 min",-0.18287689385076922,0.004894845857305513,0.048673770811053625,0.12192286286728386,0.17324896242422758,0.447929291454654,FALSE,"No significant reversal","Nuclear no reversal"
"Usp49","Nuclear: decreased at 5 min",-0.47877249345741135,0.0028873024464217013,0.03352186051919674,0.32494997032693307,0.09917410370629133,0.32688551968532564,FALSE,"No significant reversal","Nuclear no reversal"
"Utp6","Nuclear: decreased at 5 min",-0.2939601399377196,0.0027488455019941747,0.03259110820909691,0.12894710036895052,0.23398375737129878,0.5267243452856423,FALSE,"No significant reversal","Nuclear no reversal"
"Xpo5","Nuclear: decreased at 5 min",-0.23900928437405125,0.0037443222663259947,0.040151170016585,0.18910943943753675,0.06731650970543969,0.2564717208280541,FALSE,"No significant reversal","Nuclear no reversal"
"Ybx1","Nuclear: decreased at 5 min",-0.3797456292896396,7.2973862245746685e-6,4.1514446158646105e-4,-0.1329713696445068,0.40014100321589646,0.688199891693904,FALSE,"No significant reversal","Nuclear no reversal"
"Zfp462","Nuclear: decreased at 5 min",-0.4481331085127142,3.441078054053277e-5,0.001318957896675953,0.23855781267874243,0.03342957304291878,0.16603805752652936,FALSE,"No significant reversal","Nuclear no reversal"
"Zswim8","Nuclear: decreased at 5 min",-0.19406292521324292,7.85994247874717e-4,0.013124345118559894,0.0936116834512669,0.293556233387248,0.5915247199566342,FALSE,"No significant reversal","Nuclear no reversal"
"Abt1","Nuclear: decreased at 5 min",-0.331211056535926,2.580414269389806e-4,0.006103216157075364,0.2794118888666408,3.1850997238902246e-4,0.006143837014573157,TRUE,"Significant reversal","Nuclear reversal"
"Ahr","Nuclear: decreased at 5 min",-0.678746769323924,1.0328165900989157e-8,2.0947495622057566e-6,0.6693491203047329,5.104852627196405e-5,0.0017641220290266339,TRUE,"Significant reversal","Nuclear reversal"
"Akirin1","Nuclear: decreased at 5 min",-0.1557774399377997,0.0023523846420435337,0.029226351259596044,0.3183820214105412,9.234256866010636e-7,1.0998627498273638e-4,TRUE,"Significant reversal","Nuclear reversal"
"Arid4b","Nuclear: decreased at 5 min",-0.2621094578752344,3.3680961974530237e-4,0.007384533833320432,0.23948892905025873,0.004311826892116983,0.04211583782841652,TRUE,"Significant reversal","Nuclear reversal"
"Arid5b","Nuclear: decreased at 5 min",-0.4429215711752001,8.528825307429175e-6,4.5864712809951224e-4,0.5387834244607478,3.7942771919580316e-5,0.0014871627025859785,TRUE,"Significant reversal","Nuclear reversal"
"Bdnf","Nuclear: decreased at 5 min",-0.2762860559816419,3.8595289210270775e-5,0.0014335961548928413,0.3397645310161904,0.0015388723937233256,0.020191322487912042,TRUE,"Significant reversal","Nuclear reversal"
"Bhlhe40","Nuclear: decreased at 5 min",-0.3924505919951289,6.933105450802506e-5,0.002264046429538498,0.4551395924113627,3.3246909086923653e-6,2.6485264979115544e-4,TRUE,"Significant reversal","Nuclear reversal"
"Bmal1","Nuclear: decreased at 5 min",-0.3317562443962686,0.0013590728471995137,0.019508922185098997,0.39707578688406103,7.873456637010558e-5,0.0023387788383255575,TRUE,"Significant reversal","Nuclear reversal"
"Btaf1","Nuclear: decreased at 5 min",-0.3831738059711066,3.3626957799996976e-7,3.528871717089003e-5,0.4337472829088259,6.691744480401613e-7,9.328900146087157e-5,TRUE,"Significant reversal","Nuclear reversal"
"Ccnk","Nuclear: decreased at 5 min",-0.34606846476837,1.6341747442370265e-4,0.00433999872492826,0.34388170911768434,2.3411641788526448e-4,0.004951965887269698,TRUE,"Significant reversal","Nuclear reversal"
