"Comparison","gene_name","RiboTag_log2FC","RiboTag_pvalue","RiboTag_padj","Status","Volcano_label"
"5v0","Igf2r",0.252859259843879,6.428824407334343e-7,5.889630886850702e-5,"RiboTag_Up","Not labeled"
"5v0","Nlgn3",0.22110223799316864,6.484097284996147e-7,5.889630886850702e-5,"RiboTag_Up","Labeled increased gene"
"5v0","Glg1",0.24354797108357965,6.678950650676997e-7,6.016064798597305e-5,"RiboTag_Up","Not labeled"
"5v0","Fosl2",-0.35705717073326537,7.452384925299437e-7,6.65725856674063e-5,"RiboTag_Down","Not labeled"
"5v0","Sstr2",0.6144999213644411,8.11949042158042e-7,7.193735407119898e-5,"RiboTag_Up","Not labeled"
"5v0","Creld1",0.25616632978272036,8.781960988450876e-7,7.71741596131427e-5,"RiboTag_Up","Not labeled"
"5v0","Nectin1",0.26546378666923365,8.97518928499271e-7,7.823614595281146e-5,"RiboTag_Up","Labeled increased gene"
"5v0","M6pr",0.2517873286145069,1.0190535527682872e-6,8.811959881497933e-5,"RiboTag_Up","Not labeled"
"5v0","Slc3a2",0.307955455285875,1.0676913064858773e-6,9.159266136353848e-5,"RiboTag_Up","Not labeled"
"5v0","Plec",0.30750606964623267,1.0901283443250274e-6,9.27810808961356e-5,"RiboTag_Up","Not labeled"
"5v0","Rora",-0.42060701851182647,1.1074212138213377e-6,9.28747885322173e-5,"RiboTag_Down","Not labeled"
"5v0","Serinc3",0.2859879813686213,1.108414073517997e-6,9.28747885322173e-5,"RiboTag_Up","Not labeled"
"5v0","Actr2",-0.23772290544593302,1.1571975015103008e-6,9.621652149096032e-5,"RiboTag_Down","Not labeled"
"5v0","Grn",0.3943282757499587,1.2228619774916455e-6,1.0090011537944425e-4,"RiboTag_Up","Labeled increased gene"
"5v0","Atrn",0.21752965795029666,1.2696623511441623e-6,1.039680329811913e-4,"RiboTag_Up","Not labeled"
"5v0","Mpped1",-0.32823547495992966,1.2824951698836633e-6,1.0422925031031967e-4,"RiboTag_Down","Not labeled"
"5v0","Sema5a",0.3004122524162004,1.348629999738984e-6,1.08786131844617e-4,"RiboTag_Up","Not labeled"
"5v0","Phlda1",-0.4429079957694542,1.406775035926391e-6,1.1263578787650637e-4,"RiboTag_Down","Not labeled"
"5v0","Csf1",0.4285682242795458,1.4487336730236297e-6,1.1514236964494423e-4,"RiboTag_Up","Not labeled"
